numero, letras
0,CERO PESOS 
1,UN PESO 
2,DOS PESOS 
3,TRES PESOS 
4,CUATRO PESOS 
5,CINCO PESOS 
6,SEIS PESOS 
7,SIETE PESOS 
8,OCHO PESOS 
9,NUEVE PESOS 
10,DIEZ PESOS 
11,ONCE PESOS 
12,DOCE PESOS 
13,TRECE PESOS 
14,CATORCE PESOS 
15,QUINCE PESOS 
16,DIECISÉIS PESOS 
17,DIECISIETE PESOS 
18,DIECIOCHO PESOS 
19,DIECINUEVE PESOS 
20,VEINTE PESOS 
21,VEINTIUN PESOS 
22,VEINTIDOS PESOS 
23,VEINTITRES PESOS 
24,VEINTICUATRO PESOS 
25,VEINTICINCO PESOS 
26,VEINTISEIS PESOS 
27,VEINTISIETE PESOS 
28,VEINTIOCHO PESOS 
29,VEINTINUEVE PESOS 
30,TREINTA PESOS 
31,TREINTA Y UN PESOS 
32,TREINTA Y DOS PESOS 
33,TREINTA Y TRES PESOS 
34,TREINTA Y CUATRO PESOS 
35,TREINTA Y CINCO PESOS 
36,TREINTA Y SEIS PESOS 
37,TREINTA Y SIETE PESOS 
38,TREINTA Y OCHO PESOS 
39,TREINTA Y NUEVE PESOS 
40,CUARENTA PESOS 
41,CUARENTA Y UN PESOS 
42,CUARENTA Y DOS PESOS 
43,CUARENTA Y TRES PESOS 
44,CUARENTA Y CUATRO PESOS 
45,CUARENTA Y CINCO PESOS 
46,CUARENTA Y SEIS PESOS 
47,CUARENTA Y SIETE PESOS 
48,CUARENTA Y OCHO PESOS 
49,CUARENTA Y NUEVE PESOS 
50,CINCUENTA PESOS 
51,CINCUENTA Y UN PESOS 
52,CINCUENTA Y DOS PESOS 
53,CINCUENTA Y TRES PESOS 
54,CINCUENTA Y CUATRO PESOS 
55,CINCUENTA Y CINCO PESOS 
56,CINCUENTA Y SEIS PESOS 
57,CINCUENTA Y SIETE PESOS 
58,CINCUENTA Y OCHO PESOS 
59,CINCUENTA Y NUEVE PESOS 
60,SESENTA PESOS 
61,SESENTA Y UN PESOS 
62,SESENTA Y DOS PESOS 
63,SESENTA Y TRES PESOS 
64,SESENTA Y CUATRO PESOS 
65,SESENTA Y CINCO PESOS 
66,SESENTA Y SEIS PESOS 
67,SESENTA Y SIETE PESOS 
68,SESENTA Y OCHO PESOS 
69,SESENTA Y NUEVE PESOS 
70,SETENTA PESOS 
71,SETENTA Y UN PESOS 
72,SETENTA Y DOS PESOS 
73,SETENTA Y TRES PESOS 
74,SETENTA Y CUATRO PESOS 
75,SETENTA Y CINCO PESOS 
76,SETENTA Y SEIS PESOS 
77,SETENTA Y SIETE PESOS 
78,SETENTA Y OCHO PESOS 
79,SETENTA Y NUEVE PESOS 
80,OCHENTA PESOS 
81,OCHENTA Y UN PESOS 
82,OCHENTA Y DOS PESOS 
83,OCHENTA Y TRES PESOS 
84,OCHENTA Y CUATRO PESOS 
85,OCHENTA Y CINCO PESOS 
86,OCHENTA Y SEIS PESOS 
87,OCHENTA Y SIETE PESOS 
88,OCHENTA Y OCHO PESOS 
89,OCHENTA Y NUEVE PESOS 
90,NOVENTA PESOS 
91,NOVENTA Y UN PESOS 
92,NOVENTA Y DOS PESOS 
93,NOVENTA Y TRES PESOS 
94,NOVENTA Y CUATRO PESOS 
95,NOVENTA Y CINCO PESOS 
96,NOVENTA Y SEIS PESOS 
97,NOVENTA Y SIETE PESOS 
98,NOVENTA Y OCHO PESOS 
99,NOVENTA Y NUEVE PESOS 
100,CIEN PESOS 
101,CIENTO UN PESOS 
102,CIENTO DOS PESOS 
103,CIENTO TRES PESOS 
104,CIENTO CUATRO PESOS 
105,CIENTO CINCO PESOS 
106,CIENTO SEIS PESOS 
107,CIENTO SIETE PESOS 
108,CIENTO OCHO PESOS 
109,CIENTO NUEVE PESOS 
110,CIENTO DIEZ PESOS 
111,CIENTO ONCE PESOS 
112,CIENTO DOCE PESOS 
113,CIENTO TRECE PESOS 
114,CIENTO CATORCE PESOS 
115,CIENTO QUINCE PESOS 
116,CIENTO DIECISÉIS PESOS 
